career_field,current_education_level,budget_constraint,timeline_urgency,years_of_experience,gpa_percentile,research_experience_months,project_portfolio_count,viability_score
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.2422521487261975,9.0,1.0,0.1483231750233664
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.219551420319212,9.0,1.0,0.1770187301735287
Software Engineer,Bachelor in Humanities,Very Limited,URGENT,2.0,0.3824394426329576,2.0,0.0,0.2422381127647828
ML Engineer,Bootcamp Graduate,NO BUDGET,Urgent,0.0,0.1643767359125122,1.0,0.0,0.0688885921511856
Data Scientist,Bootcamp Graduate,Very Limited,Soon,0.0,0.3534625932908364,9.0,1.0,0.2128936965177871
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,2.0,0.3792271976810695,4.0,1.0,0.1357988054750036
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2133186658528884,0.0,1.0,0.1493122381366155
Software Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3851821440812668,2.0,1.0,0.1763674424339598
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.2661109157037402,4.0,1.0,0.239238908576338
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.392274462560323,9.0,0.0,0.1974071113582017
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.1428975046158507,9.0,1.0,0.1736436126632522
Software Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1667729252713091,8.0,1.0,0.2283793817553553
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.3959918735503527,0.0,1.0,0.2125599134515005
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3124543586749599,2.0,0.0,0.1255975180244509
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.1333592446918454,2.0,0.0,0.0522707289534838
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.1248673965080062,0.0,1.0,0.1372671663213112
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.2569293532510447,8.0,0.0,0.1891497377969234
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.215260549413766,6.0,0.0,0.2330508683338212
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.39231844229985,10.0,1.0,0.05646319022193
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3054193517661638,2.0,0.0,0.2381063654270767
YouTuber,Bachelor in Humanities,Very Limited,Urgent,1.0,0.1248245260105918,1.0,0.0,0.0590437340212378
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.3961828387944833,0.0,0.0,0.168826143070427
Data Scientist,Bachelor in Humanities,Limited,Urgent,2.0,0.2707244407497243,0.0,1.0,0.0573643735271982
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3178362532215544,9.0,1.0,0.1255701098551573
Software Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.3862153081776167,3.0,1.0,0.2256441334958384
ML Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.126522467009694,10.0,0.0,0.1679911794275272
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2860928654060394,1.0,0.0,0.0925928323017821
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2909932964866848,10.0,0.0,0.2308317388987497
Software Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.2476348879238614,11.0,1.0,0.1418271512476522
ML Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1627392373235542,10.0,1.0,0.118312642091309
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,2.0,0.2200901466730844,7.0,1.0,0.0863760168798289
Software Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.3002673215563082,1.0,0.0,0.0884578037617341
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.153103145283024,4.0,1.0,0.0741271742201201
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.2609771937961997,7.0,1.0,0.0972233066234808
Data Scientist,Bootcamp Graduate,Very Limited,SOON,2.0,0.2596340455795947,1.0,1.0,0.1208293341586251
Data Scientist,Bootcamp Graduate,Limited,Urgent,2.0,0.2131852489313868,9.0,0.0,0.1144158331166356
Data Scientist,Bachelor in Psychology,Limited,Soon,0.0,0.3671581842219685,3.0,0.0,0.1858204638288979
Data Scientist,Bachelor in Humanities,Very Limited,Soon,2.0,0.2752598454142508,5.0,1.0,0.1615484531900874
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2089246889195905,9.0,1.0,0.1641556609337823
Data Scientist,Bachelor in Humanities,Limited,Urgent,0.0,0.1711680375207983,5.0,0.0,0.0805718278368664
Data Scientist,Bachelor in Psychology,Very Limited,Soon,1.0,0.3417594660223431,7.0,0.0,0.2184628070596363
ML Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.1839937280980852,11.0,0.0,0.0874087497115046
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.258952006954335,0.0,1.0,0.2035559002885678
ML Engineer,Bachelor in Humanities,Limited,Urgent,2.0,0.2443420305564452,10.0,0.0,0.0603647073644853
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.3969880697169836,7.0,1.0,0.0675736222485313
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2786916221823533,7.0,1.0,0.1323681828294537
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3237923576646154,1.0,1.0,0.2365876134199909
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3398611392758547,2.0,0.0,0.0872809973576288
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.1904133622492426,6.0,0.0,0.1505440780184958
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,2.0,0.2595572439064522,4.0,1.0,0.0958050781849592
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2883124159214254,7.0,1.0,0.0778544145326774
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3681677749152873,3.0,0.0,0.0803349759465502
Software Engineer,Bootcamp Graduate,Limited,Urgent,1.0,0.3463771914016039,3.0,0.0,0.0754977324663964
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.3313740005559215,9.0,0.0,0.1348261342604772
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.3762525647852117,5.0,0.0,0.0954791241754225
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2005591724937703,3.0,0.0,0.0509264046009205
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.2545521047220438,0.0,1.0,0.1417977976034026
ML Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.1553388614256568,6.0,0.0,0.1119873852537221
Data Scientist,Bachelor in Psychology,Very Limited,Soon,2.0,0.2359866504244083,1.0,1.0,0.1381525493876456
Data Scientist,Bachelor in Psychology,Limited,Urgent,1.0,0.2579735399977881,0.0,0.0,0.2457862871231922
ML Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.265516778577802,2.0,1.0,0.0892226199386905
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.3399748256119568,2.0,0.0,0.1805492215703749
Software Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.1971970183320399,1.0,0.0,0.1766481549821921
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3629332227625882,11.0,1.0,0.2285343422153949
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.3475321994267979,2.0,0.0,0.0568456221641058
Software Engineer,Bachelor in Humanities,Limited,Soon,1.0,0.2088273683997836,4.0,1.0,0.0939021050161917
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.3605403927693739,7.0,0.0,0.2289104453788182
Software Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.3953206542110656,9.0,0.0,0.0843358571696607
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.2588985035965243,9.0,1.0,0.1496181507022011
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2256311574676219,11.0,1.0,0.1537835410565675
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,2.0,0.1271010881732823,2.0,1.0,0.0636499410708183
Data Scientist,Bootcamp Graduate,Limited,Soon,0.0,0.3164598583365717,7.0,0.0,0.2398613594115531
Data Scientist,Bootcamp Graduate,Limited,Urgent,0.0,0.2489098741603709,10.0,1.0,0.1746665101809981
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2238380651820257,10.0,1.0,0.1369654677207492
Data Scientist,Bachelor in Humanities,Limited,Urgent,2.0,0.3886296357292353,0.0,1.0,0.1881120464891281
ML Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.2468274890929421,10.0,1.0,0.060319161331742
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3998060498697505,9.0,0.0,0.1446420236162666
Software Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.2365431055108468,10.0,1.0,0.1789093301251644
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.1230859604887627,4.0,0.0,0.1179749927536132
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2586811402081636,2.0,0.0,0.2495868221066675
Software Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.3558465465075704,1.0,1.0,0.1678217068941789
ML Engineer,Bootcamp Graduate,Limited,Urgent,1.0,0.1501101838276226,3.0,1.0,0.0963343402766886
Software Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.2538065533049526,9.0,0.0,0.0853056064011016
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.3478617087381898,4.0,0.0,0.1759555845992306
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2575094502580805,10.0,1.0,0.1530495848629451
ML Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.3447499374971854,5.0,0.0,0.0947635229645246
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.3580380449253771,10.0,0.0,0.1282339532160759
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.3556580600041024,9.0,0.0,0.1158102730739742
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2225359639212096,5.0,1.0,0.18914285856995
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.2043427623706579,1.0,1.0,0.1631463927991582
YouTuber,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2396410026309951,6.0,1.0,0.075773973494689
Data Scientist,Bachelor in Psychology,Limited,Urgent,1.0,0.1979300729509879,8.0,0.0,0.0731687713560515
ML Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.1850028844796745,6.0,1.0,0.1364481567785024
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3796084316530053,5.0,1.0,0.0847506950615133
ML Engineer,Bootcamp Graduate,EXPENSIVE,Urgent,1.0,0.3125716013807889,5.0,0.0,0.0615840921117596
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.1970830657448624,2.0,0.0,0.186659075321301
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,2.0,0.1662308838366281,1.0,0.0,0.1860998604149426
ML Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1601077430646138,0.0,0.0,0.1929848080404495
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2878660964894246,11.0,0.0,0.2323672069919822
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.244456705453765,6.0,0.0,0.1714612896525342
Software Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.2954558400406794,4.0,0.0,0.1680527877771245
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.1217340663383676,1.0,1.0,0.244939970374138
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3857945914116152,8.0,1.0,0.1948570616252823
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.2712713505532493,5.0,1.0,0.0920699159837737
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.1979383924731975,1.0,0.0,0.0675732998289666
Software Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2190769828604788,1.0,1.0,0.1635081696523116
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2836773957643474,6.0,0.0,0.2289633312121055
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.2930733085589575,8.0,1.0,0.1963179043510663
Data Scientist,Bachelor in Psychology,Limited,Soon,2.0,0.2950882557620362,8.0,0.0,0.1731484043884485
Data Scientist,Bootcamp Graduate,Limited,SOON,0.0,0.1546353747066098,6.0,0.0,0.1817415551001752
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2255199366002958,0.0,0.0,0.1425245913478632
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3538735876057148,4.0,1.0,0.1970700597331505
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.2965028016496326,2.0,0.0,0.106770905721729
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.3199339067245843,2.0,1.0,0.1931649929364177
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.3914185282124919,6.0,0.0,0.2208770186739158
Software Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.2335915765007996,7.0,0.0,0.1218466738799531
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.1711083571325009,10.0,1.0,0.0646993494660025
ML Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.1437269704734255,4.0,1.0,0.1675768742220774
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.1335758858193183,1.0,1.0,0.0614173712178629
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.2920008900510741,2.0,1.0,0.0860020874945447
Data Scientist,Bootcamp Graduate,Limited,Soon,0.0,0.2917359813446502,8.0,0.0,0.1409479711267718
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.1418953764268938,3.0,1.0,0.2379639583853683
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,2.0,0.3017806354675379,5.0,0.0,0.2426693665640798
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2181593216962475,4.0,0.0,0.0713186060615981
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.3931522552663952,8.0,0.0,0.2241506900674518
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.1985143683655243,0.0,1.0,0.1719663610997389
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2927727906841569,1.0,1.0,0.1500890618261482
Data Scientist,Bachelor in Humanities,Limited,URGENT,0.0,0.2964079244294045,2.0,0.0,0.0894308253145754
Software Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.2457615277558977,4.0,1.0,0.1840192069221883
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.1555685339642229,7.0,1.0,0.1349054850392723
Software Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.1710611676923446,4.0,1.0,0.1049612071096272
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.2418675896899546,4.0,0.0,0.0856891930455544
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.264009223814221,9.0,0.0,0.1281811991811029
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.1823620762000376,6.0,0.0,0.1851682490174752
Data Scientist,Bachelor in Psychology,Limited,Soon,2.0,0.3317868182348148,3.0,1.0,0.1790579675051434
Data Scientist,Bachelor in Humanities,Limited,Urgent,2.0,0.2030681424327112,6.0,1.0,0.1384819872961339
Data Scientist,Bachelor in Psychology,Very Limited,Soon,1.0,0.2686890447633729,3.0,0.0,0.0850605884715319
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.1290029348940159,8.0,0.0,0.2012326657790492
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.1771141799296239,7.0,0.0,0.222937238406708
Software Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.1108481141574286,0.0,0.0,0.1026225139821685
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.1717165996591796,0.0,0.0,0.2150572216465793
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.2547038283089493,2.0,1.0,0.149392696581166
ML Engineer,Bachelor in Humanities,Limited,Soon,2.0,0.2191536332287633,5.0,1.0,0.1755900105545271
ML Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.169765407509614,11.0,1.0,0.243164432230644
Software Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.11733416829891,7.0,0.0,0.2467357850526827
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.3348088122232447,2.0,0.0,0.1884322683388263
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2845658314693033,3.0,0.0,0.1747791672583277
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.3659812645721401,2.0,0.0,0.155100924393728
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.2363132003679882,3.0,1.0,0.0696165161568489
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.24280543881063,8.0,0.0,0.128895255714007
Software Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.1838103141804149,1.0,1.0,0.1006116865601569
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.2350373297259279,0.0,0.0,0.2278781832257688
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2329819262330855,7.0,0.0,0.0576043696474909
Software Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.3912249873012011,2.0,0.0,0.2067685353535348
Data Scientist,Bootcamp Graduate,Limited,Urgent,0.0,0.2980908159104015,7.0,1.0,0.1348593771769776
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.3927972548796378,1.0,0.0,0.0742772836318813
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2590906399747475,1.0,1.0,0.2097428383309149
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.3760891543658223,11.0,1.0,0.07561914927324
Data Scientist,Bachelor in Humanities,Limited,Soon,2.0,0.1285035096976914,7.0,0.0,0.1600183880916312
ML Engineer,Bachelor in Humanities,Limited,Soon,1.0,0.3784952598545731,11.0,1.0,0.1492095677359773
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3935191836401788,7.0,1.0,0.2052894892999449
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.3812164199491357,1.0,1.0,0.0763457546909123
Data Scientist,Bootcamp Graduate,Very Limited,Soon,0.0,0.1480214904863719,9.0,1.0,0.0518663239654186
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,2.0,0.2204482947583865,9.0,1.0,0.0908071269257797
ML Engineer,Bachelor in Humanities,Limited,Soon,2.0,0.2844934721023398,1.0,0.0,0.1250519808885332
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.1105934064820717,0.0,1.0,0.0904961120330474
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.3268793973674358,6.0,1.0,0.2253301523656401
ML Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.308685443949042,4.0,1.0,0.1739178674919681
Software Engineer,Bachelor in Humanities,Limited,Urgent,2.0,0.3622787411830713,2.0,1.0,0.0708274715840575
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.2459792986731259,1.0,0.0,0.1039641440256428
Software Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.2320596993866472,3.0,1.0,0.1156385507218623
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2908532094124698,10.0,0.0,0.1319809779392576
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.2763308082586595,8.0,1.0,0.1224470883304576
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3118057022992074,9.0,1.0,0.0599684055565883
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.3559268870210952,10.0,1.0,0.1739398880398831
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.223328680780212,6.0,1.0,0.2299666691374545
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.364640684284618,4.0,1.0,0.2155736750644346
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.1769590187332743,2.0,0.0,0.089619526551948
ML Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.1266520735262693,5.0,0.0,0.1590211056521399
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2454088861390141,4.0,0.0,0.2391396294000564
Data Scientist,Bachelor in Psychology,Limited,Soon,2.0,0.1614643822452137,4.0,0.0,0.2259163709903058
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3252188520998041,0.0,0.0,0.160502722956545
ML Engineer,Bootcamp Graduate,Limited,Soon,0.0,0.217218509684084,2.0,1.0,0.1243865335833729
Data Scientist,Bachelor in Humanities,Very Limited,Soon,2.0,0.3326835552775983,2.0,0.0,0.0907532918255378
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.3379784051314763,6.0,1.0,0.2214358513997505
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.1422134584146275,0.0,0.0,0.0868449678476052
Software Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.2845894075209406,5.0,0.0,0.2264832736814677
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.3939347373563566,10.0,0.0,0.0759652897903435
Data Scientist,Bachelor in Humanities,Limited,Urgent,0.0,0.3457190541584969,1.0,1.0,0.1920485597246623
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2073394795976325,1.0,1.0,0.2156498504874436
ML Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.13019124355706,4.0,0.0,0.0783943979521987
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.3937314814045464,2.0,0.0,0.0752529483129005
ML Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.1524644311527878,8.0,1.0,0.0954359114047029
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2224919028278353,3.0,1.0,0.230721568869359
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3696542164540742,2.0,0.0,0.2248453448276703
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.2341166631419276,5.0,1.0,0.2229127219045339
ML Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.1332161779978947,3.0,0.0,0.058404935034281
ML Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.3575025030397363,2.0,1.0,0.232154032328783
ML Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.3888431071222078,8.0,0.0,0.1756476220926562
Software Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.1655329548649921,4.0,0.0,0.063668187106452
Software Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.2406303896393517,8.0,1.0,0.1696714968595517
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.2796424889150474,10.0,1.0,0.2254478914324401
ML Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.3676907494418957,6.0,1.0,0.0979020339819076
Software Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.398631254857393,1.0,0.0,0.1542891378087179
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2022447099369539,3.0,0.0,0.084116382311418
Software Engineer,Bootcamp Graduate,Limited,Soon,0.0,0.3107901319256549,3.0,0.0,0.1524727555091581
Sofware Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.1814706294253119,10.0,0.0,0.2467680625710875
Data Scientist,Bachelor in Psychology,Limited,Soon,0.0,0.1008763097864086,11.0,1.0,0.0591297491004767
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,0.0,0.241891403828653,2.0,1.0,0.1439487525981367
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.3562407992951513,0.0,1.0,0.2166634142946025
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3026260622641268,2.0,0.0,0.0762978239795963
ML Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.1178574101043315,3.0,1.0,0.1013388456620091
ML Engineer,Bachelor in Humanities,EXPENSIVE,Soon,1.0,0.1276854376219771,11.0,1.0,0.2002356095616836
Data Scientist,Bachelor in Humanities,Limited,Soon,1.0,0.1416613979189551,8.0,0.0,0.0808643130566158
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2589974568779256,2.0,1.0,0.2482526453467266
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.2346559215024125,6.0,0.0,0.1298737496789382
