career_field,current_education_level,budget_constraint,timeline_urgency,years_of_experience,gpa_percentile,research_experience_months,project_portfolio_count,viability_score
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2943070361624087,8.0,1.0,0.1205137712668338
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2252233009446337,4.0,0.0,0.0739730734667365
Data Scientist,Bootcamp Graduate,Limited,Soon,,0.2211508513174122,0.0,1.0,0.2424894589884222
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.1444260789860199,7.0,0.0,0.103356202855057
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.1835939392709834,,,0.0979123781333944
ML Engineer,Bachelor in Humanities,Limited,,1.0,0.1726165814534501,3.0,0.0,0.2023239230657435
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.2896917491780739,5.0,,0.1571549368149516
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.3087438420372645,2.0,1.0,0.1151917810403769
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,2.0,0.2045997961875188,,1.0,0.2381046528979208
Sofware Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.2023199053150775,8.0,1.0,0.2349387236557125
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.3946505029988307,3.0,,0.1021658349660818
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.3647909029568019,6.0,0.0,0.1057742705184363
Data Scientist,Bootcamp Graduate,Limited,Soon,1.0,0.3339626637572872,7.0,,0.0668279929990097
ML Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.3820400327373335,8.0,0.0,0.1067841949474931
ML Engineer,Bachelor in Psychology,Limited,,2.0,0.2955883778507802,8.0,1.0,0.1924358442695071
Software Engineer,Bachelor in Psychology,Very Limited,Soon,,0.3162819772756388,250.0,1.0,0.0687349535656185
Data Scientist,Bachelor in Psychology,Very Limited,Soon,,0.2769612542681632,5.0,0.0,0.147348430591891
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.2935310086091695,0.0,0.0,0.096037053648311
Data Scientist,Bootcamp Graduate,Limited,Urgent,0.0,0.3983651532392024,4.0,1.0,0.1240317400510888
Software Engineer,Bachelor in Humanities,Limited,Urgent,0.0,0.265829490050647,2.0,,0.220601891093472
Data Scientist,Bachelor in Humanities,Very Limited,Soon,2.0,0.180542457067047,2.0,1.0,0.1245373734188098
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.2710183510268095,7.0,1.0,0.1730014453398339
ML Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.1885871765256816,9.0,0.0,0.2197339589849349
Software Engineer,Bootcamp Graduate,,Soon,2.0,0.188077553279348,6.0,1.0,0.2120226789358361
Software Engineer,Bachelor in Humanities,Limited,Soon,2.0,0.2504548884061599,,0.0,0.0641881833999855
ML Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.1082850315621114,,1.0,0.1376948246036174
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,1.0,0.262793390412273,5.0,1.0,0.222080923662335
Software Engineer,Bachelor in Psychology,Limited,Urgent,,0.2611247281589967,4.0,0.0,0.2155738007575177
Software Engineer,,Limited,Soon,0.0,0.1583140101984619,2.0,0.0,0.0776706184835602
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.1123202550303627,7.0,0.0,0.1367041475161484
Data Cientist,Bootcamp Graduate,Limited,Urgent,1.0,0.3887945244033776,6.0,0.0,0.1891948412187395
Software Engineer,Bachelor in Humanities,Limited,Soon,0.0,,5.0,1.0,0.0865731994214614
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3213690750087306,4.0,1.0,0.1960078633123637
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.1360493943416926,11.0,0.0,0.068831397653712
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.2422521487261975,9.0,1.0,0.1483231750233664
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.219551420319212,9.0,1.0,0.1770187301735287
ML Engineer,Bootcamp Graduate,Limited,Soon,,0.2509408775740263,0.0,1.0,0.181738726323789
Data Scientist,Bachelor in Psychology,Very Limited,Soon,2.0,0.34028478840472,11.0,,0.1646734083343866
Software Engineer,Bachelor in Humanities,Very Limited,URGENT,2.0,0.3824394426329576,2.0,0.0,0.2422381127647828
ML Engineer,Bootcamp Graduate,NO BUDGET,Urgent,0.0,0.1643767359125122,1.0,0.0,0.0688885921511856
Data Scientist,Bootcamp Graduate,Very Limited,Soon,0.0,0.3534625932908364,9.0,1.0,0.2128936965177871
,Bootcamp Graduate,Limited,Soon,0.0,0.2045009813359592,10.0,0.0,0.0578372653351292
Software Engineer,Bachelor in Humanities,,Urgent,1.0,0.2270412826924356,7.0,1.0,0.1651849150516169
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,2.0,0.3792271976810695,4.0,1.0,0.1357988054750036
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2133186658528884,0.0,1.0,0.1493122381366155
Software Engineer,Bachelor in Psychology,Very Limited,Urgent,,0.2167605036202489,11.0,0.0,0.2310763952838527
Software Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3851821440812668,2.0,1.0,0.1763674424339598
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.2661109157037402,4.0,1.0,0.239238908576338
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.392274462560323,9.0,0.0,0.1974071113582017
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.1428975046158507,9.0,1.0,0.1736436126632522
Software Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1667729252713091,8.0,1.0,0.2283793817553553
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.3959918735503527,0.0,1.0,0.2125599134515005
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3124543586749599,2.0,0.0,0.1255975180244509
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.1333592446918454,2.0,0.0,0.0522707289534838
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,,6.0,0.0,0.1862078854193818
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.1248673965080062,0.0,1.0,0.1372671663213112
ML Engineer,Bachelor in Humanities,Limited,Urgent,0.0,,5.0,0.0,0.2485929592238601
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.2569293532510447,8.0,0.0,0.1891497377969234
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.215260549413766,6.0,0.0,0.2330508683338212
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.1832143548943398,11.0,1.0,-0.5
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.39231844229985,10.0,1.0,0.05646319022193
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3054193517661638,2.0,0.0,0.2381063654270767
YouTuber,Bachelor in Humanities,Very Limited,Urgent,1.0,0.1248245260105918,1.0,0.0,0.0590437340212378
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.3961828387944833,0.0,0.0,0.168826143070427
Data Scientist,Bachelor in Humanities,Limited,Urgent,2.0,0.2707244407497243,0.0,1.0,0.0573643735271982
Data Scientist,Bachelor in Humanities,Very Limited,,2.0,0.359416712876516,0.0,0.0,0.2499435346572261
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3178362532215544,9.0,1.0,0.1255701098551573
Software Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.3862153081776167,3.0,1.0,0.2256441334958384
ML Engineer,,Limited,Urgent,1.0,0.2494495559937679,5.0,1.0,0.2162742980125002
ML Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.126522467009694,10.0,0.0,0.1679911794275272
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2860928654060394,1.0,0.0,0.0925928323017821
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2909932964866848,10.0,0.0,0.2308317388987497
,Bachelor in Psychology,Very Limited,Soon,2.0,0.218962834696381,6.0,1.0,0.222472741749349
Software Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.2476348879238614,11.0,1.0,0.1418271512476522
ML Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1627392373235542,10.0,1.0,0.118312642091309
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,2.0,0.2200901466730844,7.0,1.0,0.0863760168798289
Software Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.3002673215563082,1.0,0.0,0.0884578037617341
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.153103145283024,4.0,1.0,0.0741271742201201
Software Engineer,Bachelor in Psychology,Limited,Soon,80.0,0.2510251812564571,10.0,0.0,0.0684581172457492
Data Scientist,Bachelor in Humanities,Limited,,1.0,0.1470933048148581,0.0,1.0,0.2236602214071174
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.2609771937961997,7.0,1.0,0.0972233066234808
Data Scientist,Bachelor in Psychology,Limited,Soon,0.0,,10.0,1.0,0.0766233857174956
Data Scientist,Bootcamp Graduate,Very Limited,SOON,2.0,0.2596340455795947,1.0,1.0,0.1208293341586251
Data Scientist,Bootcamp Graduate,Limited,Urgent,2.0,0.2131852489313868,9.0,0.0,0.1144158331166356
Data Scientist,Bachelor in Psychology,Limited,Soon,0.0,0.3671581842219685,3.0,0.0,0.1858204638288979
Data Scientist,Bachelor in Humanities,Very Limited,Soon,2.0,0.2752598454142508,5.0,1.0,0.1615484531900874
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2089246889195905,9.0,1.0,0.1641556609337823
Data Scientist,Bachelor in Humanities,Limited,Urgent,0.0,0.1711680375207983,5.0,0.0,0.0805718278368664
Data Scientist,Bachelor in Psychology,Very Limited,Soon,1.0,0.3417594660223431,7.0,0.0,0.2184628070596363
Data Scientist,Bootcamp Graduate,Very Limited,,0.0,0.3947135850725819,5.0,1.0,0.165199683561132
Data Scientist,,Limited,Soon,0.0,0.2472246337776353,5.0,0.0,0.2141722946306705
ML Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.1839937280980852,11.0,0.0,0.0874087497115046
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.258952006954335,0.0,1.0,0.2035559002885678
ML Engineer,Bachelor in Humanities,Limited,Urgent,2.0,0.2443420305564452,10.0,0.0,0.0603647073644853
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.3969880697169836,7.0,1.0,0.0675736222485313
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2786916221823533,7.0,1.0,0.1323681828294537
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3237923576646154,1.0,1.0,0.2365876134199909
Data Scientist,Bachelor in Humanities,Limited,,2.0,0.1199488802100332,,1.0,0.1648946226359823
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3398611392758547,2.0,0.0,0.0872809973576288
,Bootcamp Graduate,Limited,Soon,1.0,0.2076491452370507,,0.0,0.1865964126834264
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.1904133622492426,6.0,0.0,0.1505440780184958
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,2.0,0.2595572439064522,4.0,1.0,0.0958050781849592
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2883124159214254,7.0,1.0,0.0778544145326774
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,1.0,0.3681677749152873,3.0,0.0,0.0803349759465502
Software Engineer,,Very Limited,Urgent,2.0,0.1429383956645409,3.0,1.0,0.1928128164447228
Software Engineer,Bootcamp Graduate,Limited,Urgent,1.0,0.3463771914016039,3.0,0.0,0.0754977324663964
Data Scientist,Bachelor in Humanities,Limited,Urgent,0.0,0.1687754185697924,,0.0,0.1940073073092149
Data Scientist,,Very Limited,Soon,1.0,0.1755397176720858,,1.0,0.0863195433602851
ML Engineer,,Limited,Soon,2.0,0.2386017410932398,10.0,1.0,0.2323704817685929
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,2.0,,10.0,1.0,0.0704425328450399
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.3313740005559215,9.0,0.0,0.1348261342604772
Software Engineer,Bachelor in Psychology,Limited,Urgent,,0.3732058594767139,0.0,1.0,0.0971812069190162
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.3762525647852117,5.0,0.0,0.0954791241754225
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2005591724937703,3.0,0.0,0.0509264046009205
Software Engineer,Bootcamp Graduate,,Soon,0.0,0.3590554421838871,5.0,1.0,0.1431400244637626
Data Scientist,,Very Limited,Urgent,2.0,0.1098540010730315,10.0,0.0,0.0996452885514303
Software Engineer,Bootcamp Graduate,Limited,,0.0,0.37445377032043,0.0,0.0,0.1661176700556086
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.2545521047220438,0.0,1.0,0.1417977976034026
ML Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.1553388614256568,6.0,0.0,0.1119873852537221
,Bootcamp Graduate,Very Limited,,2.0,0.2048160997147999,0.0,0.0,0.1255451894880338
Data Scientist,Bachelor in Psychology,Very Limited,Soon,2.0,0.2359866504244083,1.0,1.0,0.1381525493876456
ML Engineer,Bachelor in Psychology,,Urgent,2.0,0.1308944437993946,7.0,0.0,0.0651006727607778
Data Scientist,Bachelor in Psychology,Limited,Urgent,1.0,0.2579735399977881,0.0,0.0,0.2457862871231922
ML Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.265516778577802,2.0,1.0,0.0892226199386905
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.3399748256119568,2.0,0.0,0.1805492215703749
Data Scientist,Bachelor in Psychology,Very Limited,Soon,1.0,0.2809592206530939,10.0,,0.1294367059236909
Software Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.1971970183320399,1.0,0.0,0.1766481549821921
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3629332227625882,11.0,1.0,0.2285343422153949
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.3475321994267979,2.0,0.0,0.0568456221641058
Software Engineer,Bachelor in Humanities,Limited,Soon,1.0,0.2088273683997836,4.0,1.0,0.0939021050161917
ML Engineer,Bachelor in Psychology,Limited,Soon,0.0,0.3605403927693739,7.0,0.0,0.2289104453788182
Software Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.3225060832685997,1.0,0.0,2.0
Software Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.3953206542110656,9.0,0.0,0.0843358571696607
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.2588985035965243,9.0,1.0,0.1496181507022011
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,,0.3489225411121605,6.0,0.0,0.0521991657316961
Software Engineer,Bootcamp Graduate,,Urgent,1.0,0.3196553735377188,1.0,1.0,0.1766196126714895
Software Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.2256311574676219,11.0,1.0,0.1537835410565675
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,2.0,0.1271010881732823,2.0,1.0,0.0636499410708183
Data Scientist,Bootcamp Graduate,Limited,Soon,0.0,0.3164598583365717,7.0,0.0,0.2398613594115531
Data Scientist,Bootcamp Graduate,,Soon,1.0,0.3197716291630751,0.0,1.0,0.0562366270122569
Data Scientist,Bootcamp Graduate,Limited,Urgent,0.0,0.2489098741603709,10.0,1.0,0.1746665101809981
ML Engineer,Bachelor in Humanities,Very Limited,Urgent,0.0,0.2238380651820257,10.0,1.0,0.1369654677207492
Data Scientist,Bootcamp Graduate,Very Limited,Soon,0.0,,2.0,1.0,0.0510507637116769
Data Scientist,Bachelor in Humanities,Limited,Urgent,2.0,0.3886296357292353,0.0,1.0,0.1881120464891281
Software Engineer,Bootcamp Graduate,Limited,Soon,,0.3196674659228684,4.0,0.0,0.1817566733421434
ML Engineer,Bachelor in Psychology,Limited,Urgent,1.0,0.2468274890929421,10.0,1.0,0.060319161331742
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3998060498697505,9.0,0.0,0.1446420236162666
Data Scientist,Bachelor in Psychology,,Urgent,,0.1892047022117652,7.0,1.0,0.1343525319461025
Software Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.2365431055108468,10.0,1.0,0.1789093301251644
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.1230859604887627,4.0,0.0,0.1179749927536132
Data Scientist,Bootcamp Graduate,Limited,,2.0,0.3411930938202693,3.0,0.0,0.1823310350161083
Software Engineer,Bachelor in Psychology,,Soon,,0.2847589564546914,,0.0,0.1423885701151175
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2586811402081636,2.0,0.0,0.2495868221066675
Software Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2439626860911727,,1.0,0.2247354228372677
Data Scientist,Bachelor in Humanities,Limited,,0.0,0.2009111391485266,3.0,0.0,0.196454361436929
Software Engineer,Bootcamp Graduate,Very Limited,Soon,1.0,0.3558465465075704,1.0,1.0,0.1678217068941789
Software Engineer,,Limited,Urgent,0.0,0.1328402796037345,8.0,1.0,0.0748875114593712
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,,0.1268233006936778,5.0,0.0,0.2258236615124329
ML Engineer,Bootcamp Graduate,Limited,Urgent,1.0,0.1501101838276226,3.0,1.0,0.0963343402766886
Software Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.2538065533049526,9.0,0.0,0.0853056064011016
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.3478617087381898,4.0,0.0,0.1759555845992306
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2575094502580805,10.0,1.0,0.1530495848629451
ML Engineer,Bachelor in Psychology,Very Limited,Soon,2.0,0.3447499374971854,5.0,0.0,0.0947635229645246
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.3580380449253771,10.0,0.0,0.1282339532160759
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,0.3556580600041024,9.0,0.0,0.1158102730739742
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2225359639212096,5.0,1.0,0.18914285856995
ML Engineer,Bachelor in Psychology,,,0.0,0.3683439792904203,0.0,,0.1490293054027948
ML Engineer,Bachelor in Humanities,Very Limited,Soon,2.0,0.2043427623706579,1.0,1.0,0.1631463927991582
Software Engineer,Bachelor in Humanities,Limited,,2.0,0.3604482412154641,11.0,0.0,0.0814681319405052
Software Engineer,Bachelor in Humanities,,Urgent,0.0,0.3790271051529216,3.0,0.0,0.1897981476079175
YouTuber,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2396410026309951,6.0,1.0,0.075773973494689
Data Scientist,,Limited,Urgent,2.0,0.1003360334440328,1.0,1.0,0.2013271607569869
Data Scientist,Bachelor in Psychology,Limited,Urgent,1.0,0.1979300729509879,8.0,0.0,0.0731687713560515
ML Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.1850028844796745,6.0,1.0,0.1364481567785024
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.3796084316530053,5.0,1.0,0.0847506950615133
ML Engineer,Bootcamp Graduate,EXPENSIVE,Urgent,1.0,0.3125716013807889,5.0,0.0,0.0615840921117596
,Bachelor in Psychology,Limited,Soon,2.0,0.3906633565857075,3.0,0.0,0.0760172480261264
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.1970830657448624,2.0,0.0,0.186659075321301
ML Engineer,Bachelor in Psychology,Limited,,0.0,,2.0,0.0,0.2208419548923132
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,2.0,0.1662308838366281,1.0,0.0,0.1860998604149426
,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3889709960320396,7.0,1.0,0.1962540133947371
Data Scientist,Bachelor in Humanities,Very Limited,Soon,1.0,0.3280282235314292,4.0,,0.1123903980990261
ML Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1601077430646138,0.0,0.0,0.1929848080404495
ML Engineer,Bootcamp Graduate,Limited,,2.0,0.3904580283744165,8.0,0.0,0.0682328980812383
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2878660964894246,11.0,0.0,0.2323672069919822
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.244456705453765,6.0,0.0,0.1714612896525342
Software Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.2954558400406794,4.0,0.0,0.1680527877771245
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.1217340663383676,1.0,1.0,0.244939970374138
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.3857945914116152,8.0,1.0,0.1948570616252823
Data Scientist,Bachelor in Humanities,Very Limited,Soon,0.0,0.2712713505532493,5.0,1.0,0.0920699159837737
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.1979383924731975,1.0,0.0,0.0675732998289666
Software Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2190769828604788,1.0,1.0,0.1635081696523116
ML Engineer,,Limited,Urgent,1.0,,11.0,0.0,0.2403099948710654
Software Engineer,Bootcamp Graduate,,Soon,0.0,0.380863673873107,6.0,0.0,0.1582592670602141
ML Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2836773957643474,6.0,0.0,0.2289633312121055
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.2930733085589575,8.0,1.0,0.1963179043510663
Data Scientist,Bachelor in Psychology,Limited,Soon,2.0,0.2950882557620362,8.0,0.0,0.1731484043884485
Data Scientist,Bootcamp Graduate,Limited,SOON,0.0,0.1546353747066098,6.0,0.0,0.1817415551001752
Data Scientist,Bachelor in Psychology,,Soon,2.0,0.1685364223993896,7.0,0.0,0.1486553693567599
ML Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,0.2255199366002958,0.0,0.0,0.1425245913478632
ML Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3538735876057148,4.0,1.0,0.1970700597331505
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,0.0,,4.0,1.0,0.1473337882849406
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.2965028016496326,2.0,0.0,0.106770905721729
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.3199339067245843,2.0,1.0,0.1931649929364177
ML Engineer,Bootcamp Graduate,Limited,Soon,1.0,0.3914185282124919,6.0,0.0,0.2208770186739158
Software Engineer,Bachelor in Humanities,Limited,Soon,0.0,0.2335915765007996,7.0,0.0,0.1218466738799531
ML Engineer,Bootcamp Graduate,,Urgent,2.0,0.1936444170089341,11.0,,0.2215972507845411
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.1711083571325009,10.0,1.0,0.0646993494660025
ML Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.1437269704734255,4.0,1.0,0.1675768742220774
Software Engineer,Bachelor in Humanities,Limited,,0.0,0.2816614472934649,4.0,1.0,0.1449261751499627
Software Engineer,Bootcamp Graduate,Very Limited,Soon,2.0,0.1335758858193183,1.0,1.0,0.0614173712178629
Data Scientist,Bachelor in Humanities,Limited,Soon,0.0,0.2920008900510741,2.0,1.0,0.0860020874945447
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,,0.1124718577151176,9.0,1.0,0.2473260245917694
Data Scientist,Bootcamp Graduate,Limited,Soon,0.0,0.2917359813446502,8.0,0.0,0.1409479711267718
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.1418953764268938,3.0,1.0,0.2379639583853683
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,2.0,0.3017806354675379,5.0,0.0,0.2426693665640798
Data Scientist,Bachelor in Psychology,Very Limited,,2.0,0.383384265842207,9.0,1.0,0.1494349528016854
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.109116117909051,,0.0,0.1879053502063122
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,1.0,0.2181593216962475,4.0,0.0,0.0713186060615981
ML Engineer,Bachelor in Psychology,Limited,Soon,2.0,0.3931522552663952,8.0,0.0,0.2241506900674518
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,150.0,0.1327328895297249,1.0,0.0,0.2030381729111569
,Bootcamp Graduate,Limited,Soon,1.0,0.3633673477123983,,0.0,0.2237801251081142
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.1985143683655243,0.0,1.0,0.1719663610997389
Data Scientist,,Very Limited,Soon,0.0,0.2346080867867592,0.0,1.0,0.124650358325868
ML Engineer,Bachelor in Psychology,Very Limited,Urgent,1.0,0.2927727906841569,1.0,1.0,0.1500890618261482
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.2437545632889193,,0.0,0.1182495655252312
Software Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.2600807640180635,10.0,,0.1598828476860906
ML Engineer,Bachelor in Psychology,Limited,Urgent,,0.1054697748029084,6.0,0.0,0.0515125749956284
Data Scientist,Bachelor in Humanities,Limited,URGENT,0.0,0.2964079244294045,2.0,0.0,0.0894308253145754
Software Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.2457615277558977,4.0,1.0,0.1840192069221883
Software Engineer,Bootcamp Graduate,Limited,,1.0,0.2831001349932756,1.0,1.0,0.1045248001467067
