current_degree_field,gpa_percentile,research_experience_months,project_portfolio_count,academic_fit_score
Humanities,0.1459583297110481,0.0,0.0,6.1052612120161
Humanities,0.1410263912205006,,0.0,31.625880516974817
Other,,4.0,0.0,6.77941724578645
Other,0.3227368588050895,0.0,1.0,13.160306019527098
Humanities,0.2721071841493493,4.0,0.0,20.859138013500075
Psychology,0.3504263649569676,7.0,0.0,31.234556341726645
Humanities,0.249719096882988,2.0,0.0,21.30078105834082
Economics,,8.0,0.0,16.685651384049763
Other,0.1813569651728608,11.0,1.0,6.602397798138481
Humanities,0.1936836875006816,2.0,1.0,7.475613105292728
Economics,0.2924601457484689,3.0,0.0,20.081457866569455
Other,0.3155974058316539,1.0,0.0,17.956993397792075
Other,0.2739669695295554,1.0,1.0,8.12717341446126
Economics,0.2589637891411114,4.0,1.0,23.190858187595197
Other,0.3202405230279623,5.0,1.0,31.447796570021588
Economics,0.2210824938136358,1.0,1.0,19.309347964072437
Psychology,0.364882792361491,11.0,0.0,10.217200830261929
Humanities,0.3879292837972897,4.0,1.0,29.717097419110058
Psychology,0.1274316276091561,5.0,1.0,25.27091443264931
Economics,0.2062144230915714,0.0,1.0,15.815744708577922
Other,0.3555533347452708,9.0,0.0,7.111342660438563
Other,0.3987490470900393,1.0,,28.12266852197984
Economics,0.1484972613815278,6.0,,9.751482790053686
Economics,0.3371303882965332,9.0,0.0,7.11430444203775
Unknown,0.1999294307944291,2.0,1.0,23.54582062046945
,0.2048134385645195,,1.0,15.449032542843836
Humanities,0.3528405920206559,4.0,1.0,28.971079504982654
Other,0.2211778655025985,7.0,1.0,13.00504429540366
Economics,0.1839710660345479,8.0,1.0,21.13424308459875
Other,,10.0,1.0,16.010845846730902
Humanities,0.356896248079219,11.0,0.0,9.131933048755448
Economics,0.1069058966832109,4.0,1.0,9.018128210244935
,0.2743477885465243,11.0,1.0,18.083394551306306
Psychology,0.2689150011558517,11.0,1.0,20.545609652703575
Other,0.3634892226646559,4.0,1.0,31.655081573655327
Psychology,0.1715468534338564,5.0,0.0,13.928866205590552
Other,0.2902280483794834,4.0,0.0,26.34308274046024
Psychology,0.3239306534009256,0.0,1.0,11.788952614039946
Economics,0.2663785407666136,10.0,1.0,13.67490442493423
Economics,0.1497096263943987,7.0,1.0,15.01077148697254
Humanities,0.3938955951799261,1.0,1.0,5.270025301383086
Psychology,0.1331604328461417,10.0,1.0,16.63289330132457
,0.168957887386555,7.0,0.0,29.542469522645924
Other,0.3028549413680034,5.0,0.0,20.026532982465422
Economics,0.1222759693741173,0.0,100.0,18.26040851303152
Other,0.2657493913018428,10.0,1.0,20.210455372082592
OTHER,0.2419378536048831,2.0,0.0,16.547753387131614
Humanities,0.3255034284680081,2.0,0.0,26.503055657693427
Other,0.278782698823795,5.0,1.0,21.755077682527403
Psychology,0.2770766125702213,9.0,0.0,25.808136317316485
Humanities,0.3470749866830538,5.0,0.0,16.190145291386298
Humanities,,0.0,1.0,30.44810628596631
Economics,0.3750118785231083,9.0,1.0,15.079845793600628
Other,0.1758401057915957,3.0,0.0,28.88736165997955
Other,0.1606187753157279,11.0,0.0,19.046883823202915
Humanities,0.1870176111975723,10.0,0.0,29.572242618964314
Other,0.3057788876662304,0.0,1.0,26.487265962185237
Economics,0.3155154191867133,9.0,0.0,8.859835277830111
Other,0.2683148814916996,11.0,0.0,11.685613879828653
Economics,0.1383756146125982,6.0,0.0,11.38141212198327
Humanities,0.3496709698074202,0.0,1.0,19.54819003180408
YouTuber,0.1504213648434006,2.0,1.0,12.081111958152457
Other,0.1804914651748642,8.0,1.0,22.631986366163364
Humanities,0.3463411463200557,0.0,1.0,5.129021623022412
Other,0.3770616460081765,3.0,0.0,10.89320003100492
Humanities,0.3205789177568913,7.0,1.0,21.913639280705347
Humanities,0.3319924359469566,,0.0,29.12522248137724
Psychology,0.3452456077555427,6.0,0.0,18.817623739578735
Humanities,0.1801663563599934,11.0,0.0,10.862788912524143
Other,0.3586349962029403,4.0,1.0,16.136218168116
Other,0.3537787936196942,7.0,0.0,19.377707946599426
Other,0.1524469342669317,6.0,1.0,22.228957928592923
Psychology,0.1761292572557498,2.0,0.0,8.151548674457333
Other,0.2354492006368687,6.0,1.0,19.3102153884196
Psychology,0.2708920559800779,9.0,0.0,16.418971913861114
Economics,0.201757381598164,4.0,0.0,12.019035162736008
Other,0.2982967510854075,9.0,1.0,13.95433781030654
Humanities,0.1818822649557355,4.0,1.0,5.147382441414684
Humanities,0.3730538234068863,4.0,0.0,8.36461036173826
Economics,0.2313676060002112,8.0,0.0,22.015934652089182
Other,0.2471049602139549,5.0,0.0,9.018855941252191
Other,0.3529235771745377,10.0,,26.768440487652946
Economics,0.2864681995299155,5.0,1.0,14.875578026261987
Psychology,0.3821823762090107,6.0,1.0,22.320851598076427
Psychology,0.1895022316882768,10.0,1.0,15.163921582057071
Psychology,0.3225304772289007,7.0,0.0,12.787727101689145
Economics,,0.0,0.0,6.255448133492297
Economics,0.3421476495785188,7.0,1.0,150.0
,2.0,4.0,0.0,15.83789107548775
Humanities,0.2315032528750953,8.0,,13.68331729165764
Economics,0.3583996416683258,9.0,0.0,26.947042316230178
Psychology,0.1046574916463355,6.0,1.0,31.733866717767143
Engeneering,0.2891180045801638,5.0,1.0,19.012611700676707
Psychology,0.3040774977343429,,0.0,14.024197865206771
,0.3993073767492973,1.0,0.0,6.3359855396845255
Economics,0.3557505822540063,10.0,0.0,9.476875367590935
Economics,0.2398903764371567,7.0,0.0,17.775770026779057
,0.1389964997006211,9.0,0.0,23.241634908189653
Other,0.1914911878102669,7.0,1.0,23.884133171073913
Other,0.2862818443563442,0.0,0.0,7.00980864149901
Other,0.1331438747032045,4.0,0.0,28.720836616950113
Psychology,0.1381706643099469,,0.0,9.78140976774742
Other,0.3963346306108047,8.0,1.0,30.047377621368096
Economics,0.3038072599775557,3.0,0.0,13.815346796715705
,0.3896314481363438,10.0,1.0,19.40004009661911
Other,0.3174239933079468,0.0,0.0,9.970748152849826
Psychology,0.268323240175524,10.0,1.0,5.019196964624452
Economics,0.3129117841358079,1.0,1.0,27.979782532072992
Humanities,0.1539777514432867,6.0,0.0,12.538686611641577
Psychology,0.2600546620253927,4.0,1.0,30.14349491920613
Economics,0.2194987065991124,6.0,0.0,19.96551909944707
,0.2174990367406032,11.0,1.0,31.15265896774604
Humanities,0.1862867514326041,7.0,0.0,28.275298855156336
Other,0.106650748171564,3.0,1.0,21.192421545000062
Humanities,0.2314877274343479,7.0,1.0,24.623337154370393
Economics,0.1381570954861324,5.0,1.0,14.867816431793155
Economics,0.2974029439571311,11.0,0.0,11.142330469847394
Humanities,,5.0,1.0,13.606027137127407
Other,0.1369284306801311,,1.0,6.237095224461591
Humanities,0.1357045095967395,4.0,1.0,19.703948657009633
Economics,0.1579748633388445,1.0,0.0,23.086069303409772
Humanities,0.1660517141938931,1.0,0.0,23.23843335916557
Humanities,0.1253335216884628,3.0,0.0,22.205773370029902
Humanities,0.2083677041418992,10.0,0.0,30.645041114205014
Psychology,0.1440925794082145,10.0,,19.36995748272919
Psychology,0.1700666980709587,0.0,0.0,28.376288752577548
Economics,0.2080674509201516,8.0,0.0,13.408254270176618
Other,0.3932213417531249,0.0,1.0,10.116046091302614
Psychology,0.1372628480231407,0.0,0.0,24.28960405045666
Economics,0.2142117142805293,10.0,0.0,20.439618110621964
Humanities,0.2216566666330935,8.0,0.0,29.082334229291988
Humanities,0.3694966768233947,4.0,,25.09289877804411
Economics,0.2578383811890222,8.0,0.0,22.391232520514
Economics,0.260115674131415,8.0,0.0,30.535121220636444
Psychology,0.3354000754547349,9.0,1.0,22.651758100323537
Other,0.298666138291979,2.0,0.0,27.269563809121195
Humanities,0.1187522296959967,5.0,1.0,13.092351921342384
Economics,0.1708981092965996,7.0,1.0,29.808502700733143
Economics,0.3483053617698736,1.0,0.0,15.40993935757928
Economics,0.2743263790670407,0.0,1.0,-10.0
Other,0.3114674451216318,6.0,0.0,21.353103553515183
Psychology,0.162207994982888,4.0,0.0,15.584190450166233
Economics,,7.0,0.0,13.77240034256414
Economics,0.2767945086794547,0.0,0.0,17.91300563592605
Humanities,0.3328012168738329,6.0,0.0,7.323796415471596
Other,0.3613983982433235,5.0,1.0,13.928727312287052
Humanities,0.2776271953859713,10.0,1.0,19.812679348863504
Humanities,0.1088913215405218,4.0,0.0,5.105338627280448
Other,0.2148610954407349,5.0,1.0,27.75611822568095
Psychology,0.2034193699766756,0.0,0.0,21.19337274425216
Humanities,0.3510680105620992,1.0,1.0,5.16276222229849
Economics,0.3448300936031364,,1.0,22.516128286769813
Psychology,0.1986975068831668,0.0,0.0,23.43139651863205
Psychology,,1.0,0.0,12.510131711610748
Psychology,0.1417570813435269,8.0,1.0,10.467525221092153
Humanities,0.2522046399592296,4.0,,27.92230321893873
Economics,0.2244196260740204,5.0,0.0,24.54047499836245
Economics,0.2498480082212399,4.0,0.0,14.18669564256041
Other,0.2076646719087308,2.0,0.0,7.873676022488911
Humanities,0.25014984789124,7.0,0.0,18.548396669082106
Humanities,0.1213490878992532,10.0,0.0,16.875421330282908
Other,0.1829969377472237,9.0,1.0,7.510813237388099
Psychology,0.3940975875607118,1.0,0.0,5.031979762318661
Humanities,0.2947600801953481,2.0,1.0,18.83846324715401
Humanities,0.1189557316975989,5.0,1.0,12.436894778381332
Humanities,0.2696771980232245,4.0,0.0,6.695490295225565
Humanities,0.2141892440410355,10.0,0.0,21.578865643797073
Economics,0.2191396522333195,2.0,0.0,5.414433995626694
Other,0.3226108140475648,5.0,1.0,16.612761073688276
Other,0.2656858267717857,,0.0,19.161748198842247
Psychology,0.1329027285512049,2.0,0.0,8.896953053754077
Humanities,0.369954625511706,6.0,0.0,21.37471046295461
,0.3434387707613897,5.0,,24.505029860234053
Other,0.3378166805564095,9.0,1.0,28.368650598818483
Psychology,0.1522509830465124,3.0,1.0,31.469610046918564
Humanities,0.2051684618149118,7.0,1.0,29.184711259195858
Economics,0.2652342077958726,3.0,1.0,21.816773401766444
Economics,0.2536871374364993,7.0,1.0,27.63566699118236
Engeneering,0.2823626527793557,10.0,1.0,22.630544617496874
Psychology,0.2181311428154987,0.0,,110.0
Economics,0.2568635245590343,7.0,0.0,28.55123034796025
Economics,0.1873582455497833,1.0,1.0,21.259073791762496
YouTuber,0.37379708505189,10.0,0.0,10.804326234287894
Psychology,0.3822605133591463,5.0,1.0,16.98891534598839
Humanities,0.3115588239191024,11.0,1.0,22.640786666984
Psychology,0.2212114288618398,9.0,1.0,5.643528862679407
Psychology,0.2161016907586515,5.0,0.0,17.144726481271498
Economics,0.1540112614394002,10.0,0.0,25.998544090996404
Psychology,0.2021823779725939,8.0,0.0,7.81880285983263
,0.3849029813063095,6.0,0.0,26.01635448299079
Humanities,0.2934111353148895,200.0,1.0,9.677943174266128
Psychology,0.1286961662760974,6.0,0.0,14.955845776487967
Economics,0.3363021556215199,4.0,0.0,6.453804229321442
Humanities,0.3018429353326399,4.0,1.0,24.780742685682284
Other,0.379385525922273,0.0,1.0,21.81515307715415
Economics,0.367668364089321,3.0,1.0,21.47758463633518
,0.2300612609840205,10.0,1.0,23.951714547410887
Economics,0.3394416739472531,3.0,1.0,19.24821131191274
Humanities,0.1639040596066625,3.0,1.0,28.396587542219812
Humanities,0.3514378013152653,2.0,0.0,27.98028398944736
Economics,0.2203250418676713,7.0,0.0,20.0465440307782
Psychology,0.1035432678681765,9.0,0.0,23.61729548774064
Humanities,0.2604672370966513,2.0,0.0,11.448844269645743
Humanities,0.3404322225551244,,0.0,18.169966733152194
Humanities,,7.0,0.0,10.010828213053404
Humanities,0.1214891179192754,5.0,0.0,19.89242366695523
Economics,0.3044675899627308,2.0,1.0,22.483200885137027
Psychology,0.345355246884556,11.0,1.0,12.295414164208148
Other,0.2949170914095688,5.0,1.0,5.53194008998286
Other,0.3251850528481477,8.0,1.0,11.51409444141004
Psychology,,5.0,0.0,28.964452108269132
Other,0.3172908380288017,7.0,1.0,15.579148879869102
Other,0.3143564757649573,6.0,0.0,17.327452945932585
Psychology,0.2937462255816386,3.0,0.0,18.745912788708125
Economics,0.268177190399058,1.0,1.0,23.0024843406753
Humanities,0.1615065345764598,8.0,,25.66256966009055
Other,0.2373078578636983,0.0,0.0,31.26451316258092
Psychology,0.1167371702761144,0.0,1.0,6.897887687930309
Other,0.2348750750056295,9.0,0.0,11.247153666257065
Psychology,0.2716232923934285,3.0,1.0,10.52653527966193
Economics,0.2610082199488425,0.0,1.0,19.87964905753514
Humanities,0.1914300944403995,9.0,0.0,-10.0
Psychology,0.2552465594025418,11.0,0.0,8.435702138978982
Humanities,0.3436560780749308,5.0,1.0,24.15910938518889
Psychology,0.3452052350634809,3.0,0.0,26.423852289319605
Other,,0.0,0.0,25.687244028975908
Economics,0.3989182292105215,2.0,1.0,29.506722164666904
Economics,0.1172856618018754,11.0,0.0,21.6924262375744
Psychology,0.3278022797700957,1.0,,29.86450187619912
Psychology,0.3176718511983678,11.0,1.0,16.162642136222857
,0.1272735500108778,1.0,1.0,29.20210295032317
Psychology,0.1534194033044687,8.0,0.0,15.32426009934452
Humanities,,8.0,1.0,30.443827998551235
Economics,0.3283952660499487,1.0,0.0,26.803455066753227
Humanities,0.2736649219148218,7.0,1.0,12.339289975434266
Humanities,0.2290858303811459,11.0,0.0,11.234611171075224
Humanities,0.1623201535769207,11.0,0.0,31.52103109009864
Psychology,0.334981191100494,6.0,0.0,25.097333352626485
Psychology,0.3156671427841228,9.0,0.0,12.436609309589244
Psychology,0.1935062530464203,5.0,1.0,6.625259746166634
Other,0.2488162176889903,10.0,0.0,27.43090747733507
Economics,0.264112574332666,1.0,0.0,10.327873413820946
Humanities,0.2635449942914979,11.0,0.0,10.633320064365863
Economics,0.1940021286947065,1.0,1.0,12.549486342497232
Other,0.3845161205955129,8.0,0.0,21.16408966034024
Other,0.1252585767588549,2.0,1.0,19.002707766907527
Psychology,0.2646803129917536,5.0,1.0,31.771676583548658
Psychology,0.270892706696998,11.0,0.0,31.397045482295123
Other,0.3488925792283974,2.0,0.0,27.516455451636173
,0.242436427137891,4.0,1.0,14.95960958399411
Humanities,0.1792276257444343,8.0,,5.949423305607594
,0.2879590502770169,0.0,0.0,9.41003908196978
Economics,0.1057257046402804,1.0,0.0,12.48404106421114
Humanities,0.352809435172347,0.0,0.0,9.33205090212317
Psychology,0.1791142299291458,8.0,0.0,31.00979056712901
Psychology,0.1028537873050594,3.0,0.0,23.270097658059147
Psychology,0.2091064266158238,7.0,1.0,24.41581602932649
Economics,0.1421015177547156,6.0,0.0,7.018325691825941
Economics,0.1549627945992391,6.0,1.0,27.555040317683748
Economics,0.377063176833866,11.0,0.0,8.343884756776257
Humanities,0.3883687888876262,6.0,0.0,12.549420603984997
Humanities,0.2988860067843891,6.0,1.0,5.867158573845365
Psychology,0.2107288974181784,1.0,1.0,11.525067366305397
Psychology,0.1680534274970575,7.0,1.0,17.73461215079501
Economics,0.2372958297881202,5.0,0.0,17.579155251792443
Psychology,0.1823456069112422,0.0,0.0,10.237001499525682
Humanities,0.1270016485068933,0.0,1.0,15.36965573534655
Humanities,0.3206661051684987,11.0,1.0,11.198310206478125
Economics,,9.0,1.0,17.444137450665384
Humanities,0.2325428674855539,5.0,0.0,15.53744570042753
Economics,0.1834882076885206,5.0,0.0,6.911457327594061
PSYCHOLOGY,0.3797912657676341,2.0,0.0,22.710484408052977
Other,0.2841012430526871,8.0,0.0,15.109625346753376
Unknown,0.2832957348616304,7.0,0.0,13.92748758053576
Other,0.3478093306984207,8.0,0.0,13.559327152551065
Psychology,0.1938935432742309,11.0,1.0,31.661744061212676
OTHER,0.1721312315047558,5.0,1.0,20.0406475935117
Economics,0.2923952702601798,5.0,0.0,29.147633647463277
Other,0.1370602208554835,6.0,0.0,24.63188321427494
Economics,0.3857137061831585,0.0,1.0,8.434090491933663
Economics,0.2101984615669746,,0.0,28.15954763697284
Economics,0.205819608376961,2.0,1.0,8.215978262907205
Psychology,0.3662777917958513,8.0,0.0,13.409117650602234
Economics,0.2576096396466678,1.0,0.0,16.072607407271352
Psychology,,2.0,1.0,9.17254389455367
Economics,0.3253703049672172,8.0,1.0,7.653749085088122
Psychology,0.1824652237704953,8.0,1.0,21.497057734355774
Other,0.3356234994183161,5.0,1.0,13.16951163160055
Economics,0.2932939859401799,6.0,0.0,22.357283472838475
Economics,0.185532883294407,8.0,0.0,8.01670586194711
Psychology,0.1461864086500164,9.0,0.0,26.13514347997924
Economics,0.2814001775736938,9.0,0.0,17.724678061782065
Humanities,0.2328813432576041,7.0,1.0,15.572572258071288
Humanities,,9.0,1.0,5.95983708708897
Psychology,0.3183864806468929,10.0,,31.962597615785715
Economics,0.2936798919520097,2.0,0.0,5.830592194681453
,0.2373281189196944,2.0,1.0,18.599689540191633
Humanities,0.1385949431795047,0.0,1.0,13.90667674957204
Humanities,0.1381842360049792,5.0,1.0,25.55259285516496
Economics,0.3472060480366385,6.0,0.0,17.80151764552516
Humanities,0.3114569373547771,0.0,1.0,13.22402603468008
Economics,0.1635344264017475,11.0,1.0,19.047201136663517
Economics,,4.0,0.0,19.218958318112943
Other,0.2524381047217945,11.0,0.0,23.54131322059665
,0.3217223100036108,5.0,0.0,24.22415944097073
Psychology,0.2256700031091915,11.0,1.0,5.459110476108965
Psychology,0.1380545292044739,2.0,1.0,12.7012037419712
Humanities,0.3021853605770556,2.0,0.0,24.555744464927564
Other,0.2777336556316863,8.0,1.0,10.255354911330894
Humanities,0.3890156467174555,2.0,1.0,5.970671654482785
Other,0.1482911488004387,5.0,,19.94042980716956
Other,0.3232188089234299,10.0,1.0,30.430251923687557
Other,0.1999420488989861,,0.0,13.887009364214176
Economics,0.1732004772526486,7.0,0.0,25.790916724574757
Humanities,0.2326469583952352,5.0,0.0,23.599870692679644
Humanities,0.3020275252961268,3.0,0.0,26.560813029967093
Psychology,0.1463235012230336,11.0,1.0,29.19500765771307
Economics,0.3552928180437977,8.0,1.0,29.30812848047558
Economics,0.3842140741566549,,0.0,15.71941141030066
Other,0.1257166359340362,10.0,0.0,25.277966453040143
,0.3892465246048374,0.0,0.0,19.72257519720447
Humanities,0.1175085292186175,8.0,0.0,7.293859037170829
Humanities,0.2631649344341435,7.0,0.0,26.234116685737852
Humanities,0.1902116305844895,1.0,0.0,31.240100543752853
Humanities,0.2418584404453031,10.0,,18.450814058074656
Other,,7.0,1.0,14.58448539932638
Psychology,0.1346451268504563,7.0,1.0,7.39564100769576
Mathemtics,0.3206465442882387,2.0,1.0,10.138714441415315
Humanities,0.2223506965345942,2.0,0.0,22.957936335995196
,0.1436885063329127,11.0,1.0,22.578919052075737
Economics,0.227939964246538,2.0,0.0,21.97351150164682
Other,0.1874868237088569,1.0,1.0,8.836332034136767
Humanities,0.3898688771601446,5.0,1.0,25.003770272776457
Other,0.1990137385695142,1.0,1.0,24.616895698889905
Psychology,0.2011163944331908,2.0,0.0,30.68713763597777
Other,0.2079428754393054,10.0,1.0,7.380148592161658
Humanities,0.3718202253221194,1.0,1.0,29.88262830619155
UNKNOWN,0.1747607935974798,3.0,1.0,9.651245209617686
Economics,0.2173746643447652,1.0,1.0,18.385281076672506
Engeneering,0.3209627775953382,0.0,0.0,6.679473522425575
Economics,0.2958165592922971,,,6.894286817091125
Psychology,0.1931173626194803,10.0,1.0,17.509604541451637
Other,0.2733619347870096,8.0,1.0,26.910751501686
Economics,0.1047170912552124,3.0,0.0,8.547450222908472
Unknown,0.2250486680261547,1.0,0.0,23.14056268135714
Other,0.3883003769880728,11.0,0.0,12.48573059106069
Psychology,0.1987484538299062,11.0,0.0,28.74675728575257
Humanities,0.3709878473454141,8.0,1.0,9.35453825125328
Economics,0.3518044677817419,,1.0,14.634211967552792
Psychology,0.2189891335264017,8.0,1.0,14.911383423397936
Other,0.3227106685235485,5.0,1.0,30.963693455884982
Humanities,0.3326775236615561,9.0,,15.069061905572664
Psychology,0.3579355365354806,9.0,0.0,9.866576784840134
Humanities,0.1462001837489507,5.0,1.0,15.455715038418816
Psychology,0.2930982095797521,8.0,0.0,14.115038336082325
Economics,,10.0,1.0,31.92713338731427
Psychology,0.3340032287284523,4.0,0.0,21.69925133935744
Psychology,0.3731024538341536,6.0,0.0,17.541793408736932
Humanities,0.2977262193127985,1.0,1.0,28.357798515583426
Psychology,0.3550219273942111,3.0,1.0,21.80609540419751
Other,0.1199678395795591,10.0,1.0,13.464261880895046
Other,0.2276116149229442,300.0,1.0,26.972636381426778
Humanities,0.1899696281564097,11.0,1.0,19.072345914922703
Humanities,0.3200558085082536,9.0,0.0,30.669242795605257
Psychology,0.1252294711200008,1.0,0.0,9.307667322912437
Economics,0.3018336997176793,5.0,0.0,20.754261241175954
Other,0.3586115710665997,8.0,1.0,30.60386264091764
UNKNOWN,0.327305580254742,8.0,0.0,8.706833120522546
Economics,0.1450955242224667,9.0,1.0,10.888370120122593
Humanities,0.2409812109226177,,0.0,17.318594789143617
,0.3297732782074413,3.0,0.0,20.22209127072251
Psychology,0.2341238847152018,,1.0,21.65564252129833
Psychology,0.1606564036199591,10.0,1.0,13.864599713247516
Other,0.1433226162812989,5.0,1.0,24.326943176874455
,0.1068928433216126,11.0,0.0,18.476831117437655
Psychology,0.2085324982733251,1.0,0.0,9.308560814709107
Engeneering,0.1973958639815436,8.0,0.0,12.74990279429952
Other,0.1572354044156453,250.0,0.0,24.031400355696025
Humanities,0.1252575822655577,5.0,1.0,23.580084275508483
Psychology,0.1928644740571059,10.0,1.0,10.099318329107597
Economics,0.2844995650566381,9.0,0.0,9.843752511514973
Other,0.32136806488026,0.0,0.0,7.622689823775321
Other,0.2064999971656163,10.0,,28.55252601432383
Psychology,0.2639849406278226,1.0,1.0,6.162098853030686
Economics,0.3139941415742197,5.0,1.0,8.03386804715139
Psychology,0.3042201956577091,11.0,0.0,25.40321485824575
Economics,0.2643614545911027,9.0,,15.508661347603208
Psychology,0.1792021086409937,8.0,0.0,13.994942736413392
Economics,0.2008112552788798,5.0,0.0,5.700018004768269
Humanities,0.1236976744874665,5.0,0.0,11.20365369130875
Economics,0.2037872424095021,2.0,0.0,12.14993040864208
,0.1469322413216108,1.0,1.0,9.97389769761006
,0.3710855349131964,5.0,1.0,11.941973309181805
Humanities,0.1294493694266277,8.0,0.0,20.258293713833037
Other,0.2498447795842323,,0.0,6.4979345074654375
Other,0.1269245078435045,11.0,1.0,8.789992369541428
Other,0.1703856814471627,1.0,0.0,17.886312456733975
Economics,0.2694215210451371,8.0,0.0,7.102796182187489
Unknown,0.3855222977642866,9.0,1.0,15.96407554904494
Other,0.1776246349567743,3.0,1.0,28.1397984916727
Economics,0.1420254155232628,2.0,0.0,10.409528157758796
Psychology,0.3237439625123197,1.0,1.0,28.403406286966252
Economics,0.21825464541306,7.0,1.0,11.481660127164607
Humanities,0.3412608040550419,1.0,,17.112518160250808
Economics,0.1272319513232691,9.0,1.0,7.372635784873276
,0.292246520243504,8.0,0.0,12.279890612776082
Psychology,0.3187589420384804,9.0,1.0,15.677503418646634
Economics,0.3006704518086261,1.0,1.0,31.862924318673397
Humanities,0.3477742695350556,9.0,0.0,15.4873425989387
Other,0.2862976404393484,7.0,1.0,18.82868933225011
Psychology,0.3720516155236203,7.0,1.0,15.197695687423256
Humanities,0.307294111860887,11.0,0.0,20.422438720864953
Other,0.3695090885720604,1.0,1.0,15.67226886061434
,0.2533709530384149,7.0,0.0,14.070329083326437
Psychology,0.2956415730300257,0.0,1.0,26.151891597766593
Psychology,0.2326128667285038,3.0,1.0,12.80514625097456
Psychology,0.261806777255213,7.0,1.0,29.469095794821612
Psychology,0.3006223788884833,8.0,0.0,19.971117205480347
Humanities,0.1810143977663817,1.0,1.0,15.070494174660167
