career_field,current_education_level,budget_constraint,timeline_urgency,age,years_of_experience,interest_alignment_score,skill_transferability_score,geographic_flexibility,learning_commitment_hours_per_week,has_relevant_certifications,has_industry_connections,current_career_satisfaction,family_support_level,health_constraints,language_proficiency,prior_career_switches,education_gap_years,target_career_growth_trend,viability_score
Software Engineer,Diploma,Flexible (>₹2L),Medium (2-5 years),26,2,0.5973944124421431,0.7208550922735277,0,36,0,0,0.4204661287916233,2,1,0,2,4,0.7587610189074434,0.5528552241685821
Product Manager,Master's,Limited (₹25K-₹75K),Flexible (5+ years),18,6,0.5909873836186121,0.2683920961089255,0,25,1,1,0.11425826891254243,1,0,2,0,0,0.42328429405169976,0.6426575923970191
Civil Engineer,Bachelor's,Moderate (₹75K-₹2L),Immediate (<1 year),26,0,0.47088026991950527,0.3816461847446547,1,34,1,0,0.5099695819577492,1,0,0,2,2,0.5365351526285107,0.566917926895804
Teacher,Master's,Moderate (₹75K-₹2L),Flexible (5+ years),19,0,0.4074488405632739,0.45541664674849464,0,30,1,0,0.9178026715100357,1,0,1,1,0,0.7731232495823952,0.530068294028547
Machine Learning Engineer,Diploma,Limited (₹25K-₹75K),Flexible (5+ years),30,3,0.6029086323494003,0.8504377624322574,0,16,1,0,0.19782007160355947,1,0,2,0,0,0.8287919617715711,0.6146959853431192
Teacher,Master's,Limited (₹25K-₹75K),Urgent (1-2 years),31,5,0.35264162463383,0.9252503017033856,2,20,0,0,0.5526146293639224,2,1,1,1,0,0.43784929351002655,0.528577603389579
Product Manager,Bachelor's,Moderate (₹75K-₹2L),Medium (2-5 years),43,3,0.7009413771785666,0.2941486824659474,0,14,1,1,0.5516666344234542,1,0,2,1,5,0.7221999007994232,0.5870039077910705
Software Engineer,High School,Very Limited (<₹25K),Flexible (5+ years),44,2,0.6365099907995926,0.5360566944601947,0,8,0,0,0.0948444947378248,2,0,1,0,2,0.5775403494099383,0.4485119617292201
Product Manager,Diploma,Very Limited (<₹25K),Urgent (1-2 years),20,0,0.4095852154947522,0.7794473955353799,1,23,0,0,0.45946536593173787,1,0,2,0,2,0.7788924005573123,0.4877221708272029
Lawyer,Bachelor's,Moderate (₹75K-₹2L),Flexible (5+ years),35,3,0.6125712322733499,0.6531926589005317,0,14,0,0,0.43537223448687823,2,1,2,0,5,0.3268979863788746,0.43423609955101616
Teacher,Bachelor's,Moderate (₹75K-₹2L),Urgent (1-2 years),24,3,0.8254227558550296,0.33014193821784243,0,25,1,1,0.27934800923562514,1,1,1,0,5,0.7152600468138295,0.6718181104492592
Product Manager,Master's,Limited (₹25K-₹75K),Medium (2-5 years),31,7,0.6492087675979127,0.873145250714973,2,35,1,0,0.9442965680116975,1,0,2,0,0,0.48380295625315334,0.6940388605389014
Software Engineer,High School,Very Limited (<₹25K),Medium (2-5 years),41,5,0.7825888633315141,0.4595244272281967,2,39,0,1,0.3507144535787147,1,0,0,0,2,0.3618938050298208,0.6839220709897543
Teacher,Master's,Limited (₹25K-₹75K),Urgent (1-2 years),40,2,0.8504036269290749,0.5530883943580779,1,28,1,0,0.5730874467311167,2,0,1,1,0,0.5779043216296772,0.6832848282844547
Civil Engineer,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),43,5,0.6295748385610955,0.7178023844840551,1,34,1,1,0.5468541458170098,1,0,1,1,0,0.3433393960786077,0.7509095878979073
Data Scientist,Bachelor's,Flexible (>₹2L),Medium (2-5 years),39,2,0.5175898316096087,0.5432768350894509,0,12,1,0,0.2957242633143184,1,0,0,0,0,0.7022495145692964,0.5253357541480882
Civil Engineer,Master's,Very Limited (<₹25K),Urgent (1-2 years),25,2,0.7712597584124514,0.43409298301443966,1,13,0,0,0.4027442132736136,2,0,2,0,0,0.7955632639405994,0.5127568516680056
Entrepreneur,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),29,4,0.5069926744483688,0.515893141729004,2,31,0,1,0.2893482175473204,1,0,2,2,3,0.8532419287706039,0.6282271917101887
Lawyer,High School,Flexible (>₹2L),Immediate (<1 year),40,4,0.8419319843066524,0.3539980265774359,1,5,0,0,0.3176154997658889,1,0,2,1,0,0.38651430316054913,0.4436810410176789
Lawyer,Master's,Very Limited (<₹25K),Urgent (1-2 years),22,5,0.45792625727247305,0.5807090620480554,0,7,0,0,0.3478201438610372,0,0,1,0,0,0.3936828755609182,0.3572347473466969
Data Scientist,Master's,Very Limited (<₹25K),Medium (2-5 years),36,2,0.8168502151284276,0.428024651621547,0,30,0,0,0.347240662787209,2,0,1,0,0,0.9179676584840126,0.5686100905537578
Civil Engineer,High School,Limited (₹25K-₹75K),Medium (2-5 years),21,1,0.5428392875634771,0.7709640498596135,1,40,0,0,0.38486813951493204,2,0,1,1,0,0.31708588969935847,0.5958233525008587
Data Scientist,Master's,Very Limited (<₹25K),Urgent (1-2 years),35,6,0.3247128299909815,0.3479344601763138,0,39,1,0,0.6443794109280105,1,0,0,0,2,0.41908564454657393,0.5137847133722382
Lawyer,High School,Moderate (₹75K-₹2L),Flexible (5+ years),33,0,0.5902065173434539,0.5268062034998613,0,30,0,0,0.4975581581752968,1,0,1,2,0,0.5716009850735757,0.48826437533858397
Product Manager,Bachelor's,Very Limited (<₹25K),Urgent (1-2 years),44,4,0.48816959902889623,0.2990039923271345,2,39,0,0,0.4685113643579565,2,0,1,0,0,0.6814310730157339,0.5493805040877383
Machine Learning Engineer,Diploma,Moderate (₹75K-₹2L),Medium (2-5 years),24,6,0.5450555514999261,0.8036484676289916,1,31,1,0,0.3389225848789909,1,0,0,0,5,0.7606644984289024,0.6335621427884962
Software Engineer,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),41,2,0.3990170439322289,0.5238195482749665,1,11,1,0,0.367509918831145,1,0,1,0,1,0.8506141069178681,0.5171148837653603
Civil Engineer,Bachelor's,Flexible (>₹2L),Medium (2-5 years),37,0,0.685810786415263,0.33382340412693046,0,19,1,0,0.42429407872525016,2,0,0,1,0,0.7908880550126801,0.5768153667164636
Machine Learning Engineer,Bachelor's,Moderate (₹75K-₹2L),Flexible (5+ years),24,1,0.6044705809320292,0.6718388866425551,1,26,0,0,0.31357622864081725,2,0,1,0,1,0.330531899688762,0.5383510660685197
Data Scientist,Bachelor's,Limited (₹25K-₹75K),Immediate (<1 year),44,0,0.6321760179240894,0.4925628023715153,1,14,0,0,0.2265451263284241,1,0,1,0,3,0.7764914843154729,0.4603169418398977
Software Engineer,Bachelor's,Very Limited (<₹25K),Immediate (<1 year),43,2,0.575987347510437,0.6983677336858303,0,19,0,0,0.6631920507747933,1,0,0,2,4,0.5669497202021156,0.43472384635966144
Civil Engineer,PhD,Moderate (₹75K-₹2L),Medium (2-5 years),26,3,0.7069657329316058,0.39616737860246076,0,33,1,0,0.4394473386497721,0,1,1,0,3,0.8865327866179482,0.5769225257750992
Software Engineer,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),24,2,0.6714619028112815,0.6096955758407805,0,31,0,0,0.1967503990157572,1,1,0,0,0,0.4266580666518153,0.5284921003201764
Teacher,Bachelor's,Flexible (>₹2L),Flexible (5+ years),39,1,0.5854000151772133,0.5585925597708465,1,5,1,1,0.4986110989675696,1,0,1,2,6,0.7554302890905098,0.5924598465072167
Product Manager,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),38,6,0.6163691448140989,0.5026905921857732,1,19,1,0,0.28838734322324966,1,0,1,0,0,0.5599511881006012,0.5835056100345533
Lawyer,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),28,4,0.6481149898075147,0.659220813090377,1,37,0,0,0.5874523445902606,1,0,2,1,0,0.6729329536031857,0.5715301503757056
Doctor (MBBS),High School,Flexible (>₹2L),Urgent (1-2 years),37,0,0.39836099916723566,0.23606742203160552,1,24,1,1,0.4125753710979774,2,0,1,0,0,0.40609645268526456,0.6297583672175524
Product Manager,Bachelor's,Limited (₹25K-₹75K),Urgent (1-2 years),26,2,0.7760121476400272,0.5678479791605874,0,18,0,0,0.5150249356295292,2,0,2,1,0,0.3111625808084372,0.4976865086610389
Machine Learning Engineer,Bachelor's,Flexible (>₹2L),Medium (2-5 years),28,3,0.7618892196189015,0.5386221033752839,1,5,0,1,0.5856826721457252,2,1,1,0,10,0.5959925807466104,0.5107699881934504
Product Manager,Bachelor's,Moderate (₹75K-₹2L),Flexible (5+ years),45,6,0.5693868157039579,0.4704041897215733,1,37,0,0,0.6119662152703625,1,0,1,0,0,0.33181539601863325,0.5091804506364411
Investment Banker,Master's,Very Limited (<₹25K),Medium (2-5 years),42,1,0.6111172350780939,0.4047301460738963,1,39,0,0,0.24300753332245492,2,0,2,1,9,0.7362374223447951,0.5188444633778202
Civil Engineer,Master's,Limited (₹25K-₹75K),Flexible (5+ years),35,0,0.7122677932229939,0.5670972122291655,1,21,0,1,0.40000380872883057,2,0,0,0,0,0.6612508799516967,0.644330494040117
Data Scientist,PhD,Very Limited (<₹25K),Medium (2-5 years),18,9,0.43688483250977383,0.5268971033252053,1,14,0,0,0.66970246819954,2,1,2,2,0,0.6264187572602682,0.44174734645377195
Teacher,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),37,0,0.6431677849950685,0.23797417317982977,2,33,1,0,0.28762557348542644,1,0,0,1,1,0.9298577372521002,0.6385246244976552
Software Engineer,Diploma,Limited (₹25K-₹75K),Flexible (5+ years),33,3,0.5200074544546298,0.5524257127575817,1,7,1,0,0.4423671427812699,2,1,1,0,0,0.7536668055959068,0.553680330945295
Civil Engineer,Master's,Limited (₹25K-₹75K),Medium (2-5 years),41,12,0.5638691081783019,0.4917589546685982,0,35,1,1,0.3203807555642375,1,1,1,0,0,0.5943261669534715,0.7064849354054118
Lawyer,Master's,Limited (₹25K-₹75K),Medium (2-5 years),42,7,0.512258548779196,0.7423989202528933,0,22,1,0,0.5205326449291126,1,0,2,0,2,0.4169552684295383,0.5527993456354612
Civil Engineer,Master's,Moderate (₹75K-₹2L),Flexible (5+ years),32,5,0.5097964974843788,0.5042296100306293,0,40,0,1,0.36351498640604785,1,0,1,1,0,0.851025838862111,0.6269692836242734
Product Manager,High School,Moderate (₹75K-₹2L),Medium (2-5 years),29,4,0.6543224392048976,0.611757863115919,1,27,1,0,0.33729116573867013,2,0,2,0,3,0.7215716549924763,0.6480921917710578
Machine Learning Engineer,High School,Very Limited (<₹25K),Flexible (5+ years),39,0,0.7841030301443882,0.5852454650921622,0,5,0,0,0.3218711718549009,1,0,2,0,3,0.9341142718772977,0.4489695807938219
Doctor (MBBS),Diploma,Very Limited (<₹25K),Flexible (5+ years),26,13,0.6028518371668384,0.6206712190595243,0,12,0,0,0.6128634737794134,1,0,2,1,1,0.5870105280149631,0.4257117363374071
Lawyer,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),29,0,0.605322301541544,0.548837700989521,1,17,1,0,0.5979177428546832,2,0,1,0,0,0.6842838024243815,0.596458418435222
Civil Engineer,Diploma,Limited (₹25K-₹75K),Urgent (1-2 years),24,4,0.37393219146352186,0.40048927421773023,0,13,0,0,0.5752767086124091,2,0,1,0,4,0.5623537019634804,0.35629701242625084
Graphic Designer,Bachelor's,Flexible (>₹2L),Medium (2-5 years),30,2,0.34718220208910644,0.7670715175312912,0,26,0,1,0.8763370624090006,0,0,1,0,0,0.9385780580083098,0.5351092178274803
Teacher,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),36,0,0.6017437357890573,0.5684807920890763,1,17,0,0,0.45130914626691115,2,0,1,0,1,0.7907311412832039,0.5046752990553208
Software Engineer,Master's,Moderate (₹75K-₹2L),Flexible (5+ years),33,0,0.41265964994989895,0.6877385929969974,1,16,0,1,0.5146652846014209,1,1,1,0,0,0.3377787389066256,0.5368483916547896
Software Engineer,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),24,4,0.808308772341938,0.4762821873025169,1,31,1,0,0.8407025823772765,1,1,2,1,1,0.8064805106041535,0.6409763123084423
Investment Banker,Bachelor's,Limited (₹25K-₹75K),Urgent (1-2 years),41,1,0.5892027265800075,0.7020073497091016,1,38,0,1,0.3695112194420128,1,0,2,0,0,0.5462706763425225,0.6744796206173922
Data Scientist,Bachelor's,Very Limited (<₹25K),Urgent (1-2 years),43,0,0.307374562430245,0.3607823534691804,0,22,0,0,0.6948582964493969,1,0,2,0,0,0.32100961322421107,0.35439983134516684
Product Manager,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),34,0,0.353391310384405,0.7056659513493078,1,15,1,1,0.43442445462272805,1,1,2,0,0,0.7982321089328341,0.6509685374947826
Product Manager,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),24,5,0.5289176943758065,0.6663274280964284,0,40,0,0,0.468555920981489,2,0,1,0,0,0.30951203853677595,0.5477804589673899
Doctor (MBBS),PhD,Flexible (>₹2L),Medium (2-5 years),35,2,0.4916289005242838,0.810494929488623,0,8,1,0,0.1880754053633506,2,0,1,0,0,0.7577863473215329,0.5783855666260593
Product Manager,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),33,0,0.484770989833211,0.4038516293056593,0,15,1,1,0.10552475564780628,2,0,2,0,2,0.6476056630983642,0.6275526544016857
Teacher,High School,Limited (₹25K-₹75K),Immediate (<1 year),42,6,0.8172600407390094,0.5265397533678838,0,32,0,0,0.4984018839344856,1,0,1,3,4,0.8473376298810733,0.5282130917836473
Software Engineer,High School,Moderate (₹75K-₹2L),Medium (2-5 years),19,4,0.5570089528579091,0.4171809582819769,2,26,0,0,0.36237538257733426,2,0,1,0,0,0.8431869698307484,0.545519513676549
Product Manager,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),36,2,0.3389194175596192,0.6523153006049577,2,20,1,1,0.7411083518537541,0,0,1,0,2,0.4587214816329154,0.6131785017582922
Data Scientist,Bachelor's,Moderate (₹75K-₹2L),Immediate (<1 year),29,5,0.548152909402004,0.7485864685583391,1,10,0,0,0.7978564618765287,2,0,1,2,3,0.4367925385468382,0.4463653559976672
Doctor (MBBS),Bachelor's,Moderate (₹75K-₹2L),Flexible (5+ years),25,0,0.5700939856505416,0.2343367906298568,0,11,0,0,0.4268145453927007,2,0,0,1,3,0.5719548217666468,0.3776763295432842
Software Engineer,Diploma,Limited (₹25K-₹75K),Medium (2-5 years),21,2,0.7089172459998153,0.7393943894327992,0,12,1,0,0.5289556290482053,0,0,1,0,0,0.3727024351256728,0.5398799479187564
Product Manager,Diploma,Moderate (₹75K-₹2L),Medium (2-5 years),34,2,0.6466903505607388,0.9073707110921756,0,8,0,1,0.381804014540703,0,0,2,0,2,0.8332793173747606,0.5546841085843437
Teacher,Bachelor's,Limited (₹25K-₹75K),Immediate (<1 year),29,3,0.4553396903583323,0.6158607888561021,1,14,1,0,0.8096439234453108,1,0,1,1,0,0.7807737522755342,0.534503547841593
Machine Learning Engineer,Master's,Limited (₹25K-₹75K),Medium (2-5 years),28,2,0.6562984013244585,0.4449061909839518,0,25,0,0,0.5135557111109758,2,0,0,3,0,0.3140451005372889,0.4817700783838001
Teacher,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),28,3,0.6920538602460767,0.41868471237718297,1,23,0,0,0.23436773732651472,1,0,0,1,0,0.8511124597043149,0.5183007150246829
Software Engineer,Bachelor's,Flexible (>₹2L),Flexible (5+ years),18,0,0.5709539945791687,0.35978612836205265,1,21,0,1,0.7088052096081332,2,0,0,1,0,0.45605053397514445,0.5592709843884923
Software Engineer,Bachelor's,Very Limited (<₹25K),Urgent (1-2 years),45,6,0.6363610886470765,0.6009308544358316,2,17,1,1,0.4618497189430861,1,1,2,0,2,0.9400836074765617,0.7167402069881306
Software Engineer,Master's,Very Limited (<₹25K),Urgent (1-2 years),32,3,0.48701341152054617,0.3976988760378337,1,32,1,0,0.1447296106379244,1,0,0,0,4,0.3026504996614093,0.5582868914942919
